index,text
814,רשע אחד היה קבור בין ההרוגים בא בחלום לאדם חשוב חי שיוציאוהו מביניהם שקשה להם ביותר
815,"מקים דבר עבדו ועצת מלאכיו ישלי' עליונים מסכימים לדעת תחתונים כשעליונים אומרים לכך וכך ראוים אותם אמר הקב""ה המתינו עד שהצדקים אומרים ככה ולכך לא היה אומר שמועה מפי ר' מאיר עד שאמורא אמר ר' מאיר רימון מצא תוכו אכל קליפתו זרק ואמר השתא קאמר."
816, והלא הכל גלוי וידוע לפניו אלא חפץ שיסכימו עליונים ותחתונים למדת משפטיו שנאמר (תהלים נא ו) למען תצדק בדברך תזכה בשפטך אמת מארץ תצמח וצדק משמים נשקף כשאדם צדיק ודן דין אמת לאמיתו.
817, ומחפש איזה מדה טובה ראוי לעושי רצונו מדה במדה ומדת פורענות ומכוין לדעת העליונים.
818, חסד ואמת נפגשו צדק ושלום נשקו.
819," על מדת פורענות אומר השטן רבש""ע אפי' תחתונים מסכימים לדעתי וכתיב (הושע ט יד) תן להם רחם משכיל ושדים צומקים."
820," וכי לא בעבור שהיה הנביא מרחם על ישראל יתן להם אלא כך מדת גזירה של מעלה כשצדיקים גוזרים עושים העליונים ויאמר השטן אף תחתונים אומרים להם כן ועל מדה טובה שנראה בעיני הצדיקים ואומרים בפיהם שנאמר (תהלים נא ו) למען תצדק בדברך אמר אליהו רבש""ע והלא הצדיקים מסכימים לדעתינו וכשנפטר לעולמו באת מדת הדין של מעלה ומנשקים אותו שכיון לדעתן וכל האומר דבר שמועה מפיהם הם מתפללים עליו שם ומליצים טובה עליו כשישראל עושין רצונו של מקום גורם שבעלי דינים של מעלה מנשקים זה את זה ואם לאו מלאכי שלום מר יבכיון וזה שנא' יעשה שלום"
821,"חכם אחד צוה לבנו שלא יהנה יותר מדאי בעולם הזה שלא יעברו עליו שמנה ימים בלא תענית ואפילו על שונאו יתפלל שיעבוד להקב""ה"
822,"דע והבן אע""פ שאמרו חכמים יפה תענית לחלום כאש לנעורת לא אמרו אלא לעושי תשובה עם התענית."
823, הרי יהודי אחד ראה חלום קשה בליל ט' בתשרי והתענה בתשעה בתשרי וביום הכיפורים הרי שני ימים ולילה ולא הועיל לו לפי שמראין לו חלום קשה שיפשפש במעשיו כי התענית במקום חטאת.
824, מה קרבן אינו מועיל בלא תשובה שנאמר (משלי כא כז) זבח רשעים תועבה.
825, אף תענית חלום אינו מועיל בלא תשובה
826,ומה שמתענין לאחר חג המצות ולאחר חג הסוכות (לא בעבור שחוטאים לפי שלא היו קורין בספר תורה כמו לפני תעניות ולפני ראש השנה ויום הכפור) שאין קורין בתעניות אלא על כפרת עוונם לזכרם ביום הדין לטובה.
827, אבל אלו התעניות בשביל הגשמים במרחשון מתענין בשבוע ראשונה כשאין חל ראש חדש מרחשון בעבור יורה שיורה על הזרעים לברכה.
828," ובאייר מפני שלא תלקה בשדפון ובירקון לכך קורין בס""ת כמו הראשונים עושים כדי שירד המטר לברכה"
829,"מה שכתוב ונסלח לו כשהביא קרבן על המזיד בשבועת העדות ובשבועת הפקדון ובאשם שפחה חרופה זהו כשהוא עושה תשובה על השגגות מביאין קרבן ואם אין מביאין קרבן נענשים עליהם אע""פ שאין כוונתו לכך מלך ב""ו שגזר שלא להחליף מעות ושגה אחד והחליף ושמע המלך היוכל לומר שגיתי והירצהו או הישא פניו לפטור גם עתה בדבר הזה כן לפני מלך מלכי המלכים הקב""ה לבלתי לומר לפני המלאך כי שגגה היא"
830,"המתענה בשבת תענית חלום ולמחר ר""ח או חולו של מועד או פורים או חנוכה לא יתענה אלא אח""כ יתענה יום אחד על שהתענה בשבת אבל אם התענה בי""ט בשביל חלום וביום טוב אחרון למחר יתענה מי שיתענה בשבת תענית חלום לא יתפלל עננו כי לא יוכל לומר ביום צום תעניתנו ובצרה גדולה אנחנו כי לא יתכן לומר כן בשבת כשחל בששי יום תענית שקורין בו ויחל אז טוב שלא ילכו מבעוד יום לבית הכנסת ויאכלו מבעוד יום לכן טוב אז לאחר להשלים"
831,ואם אדם רואה מאורות לוקים כגון לבנה צריך להתענות שהרי בשביל חלום מתענה בפני כל העולם לא כל שכן וכן הנביא כשהיה רואה פורענות היה מתפלל ואומר להם שישובו ויצומו וזהו שנאמר (ירמיהו יד יב) כי יצומו אינני רואה
832,"מה שמתענין ביום שמת אביהן שהרי דוד התענה על שאול כי קראו אבי וצם על יהונתן ועל אבנר כי יש לצום על מיתת אדם חשוב וכתיב (בראשית לב לג) על כן לא יאכלו בני ישראל את גיד הנשה כי אמרו הואיל ופשענו שהנחנו הלילה הזקן לבדו ולכך אירע לו בשבילנו לכך נדרו שלא לאכול גיד הנשה ד""א דין הוא לפי שהאב והבן גוף אחד ודין שיצטערו הבנים"
833,כי הנה מעשה ברב סעדיה בן יוסף החכם באחד שהלך למדינת הים עם עבדו והוליך עמו ממון גדול ואשתו היתה מעוברת לימים מת האדון והניח כל הממון והלך העבד והחזיק בנכסיו ואמר העבד אני בנו כשגדל הבן שהולידה שמע שמת אביו הלך לתבוע נכסיו שהחזיק בהן העבד ונתחתן בגדולי הדור והיה ירא הבן לפתוח פיו פן יהרגוהו ונתאכסן בבית רב סעדיה והניח לפניו לאכול ולא אכל עד ששם לפניו אלו הדברים נתן לו עצה לדבר אל המלך וכן עשה שלח המלך אחר רב סעדיה לדון דין זה וצוה רב סעדיה להקיז דם זה בספל אחד ודם זה בספל אחד (ולקח עצם לעומת עצם של אבי הבן) והניחו בספל העבד ולא נבלע הדם ולקח העצם ושם אותו בספל הבן ונבלע הדם בעצם כי היו גוף אחד ולקח רב סעדיה הממון ונתנו לבנו שבא הרי ראוי לבן שיתעצב ביום מיתת אביו וכן אמר איוב כי לא סגר דלתי בטני ולא אמר בטן אמי שהכל כגוף אחד וכתיב (איוב ג א) ויקלל את יומו.
834, וירמיה כן עשה שלעולם לשנה הבאה באותו יום לא היה שמח לכן יש להתענות ביום שמת אביו
835,כל ישראל ערבים זה לזה.
836, שנאמר (שמות כד ג) ויענו כל העם קול אחד ויאמרו כל אשר דבר ה' נעשה אלו היה א' מוחה לא ניתנה תורה לכך אומרים ברכנו אבינו כלנו כאחד באור פניך וכו'.
837, ראתה שפחה באור שכינה בים ובמתן תורה מה שלא ראה יחזקאל לכך נאמר ונזכה כלנו במהרה לאורו שערבים זה בזה והלכך אומרים ברכנו אבינו כלנו כאחד וכתיב (ישעיהו מ ה) ונגלה כבוד ה' וראו כל בשר יחדו כי פי ה' דבר
838,מעשה באחד שחלה בא הרופא אצלו לרפאותו.
839, אמר לו אם תשתה מים תהיה בסכנה ואם תאכל מאכל פלוני תהיה בסכנה בנפשך.
840," ואמר לבנו תן לי מים ואותו מאכל פלוני ואם לאו לא אמחול לך לא בעוה""ז ולא בעוה""ב."
841, אמרו לו הקהל אל תהי חושש בדבריו.
842," אל יתנו לגוסס לאכול כי אינו יכול לבלוע אבל נותנין בפיו מים שמוצצין מן שלוויא של""בגא שג""א בלע""ז ויכתשוהו וימצו המרק ממנו ונותן בפיו שיוכל לדבר ואין צועקים עליו בשעת יציאת הנשמה."
843, כדי שלא תחזור הנשמה ויסבול יסורים קשים.
844, עת למות למה הוצרך קהלת לומר כן.
845, אלא כשאדם גוסס כשנפש אדם יוצאה אין צועקים עליו שתשוב נפשו כי אין יכול לחיות כי אם מעט ימים ואותן ימים יסבול יסורין וכן למה לא יאמר עת לחיות לפי שאין זה תלוי באדם כי אין שלטון ביום המות
846,אם אדם רואה חלום או רוח או מזיקים אל יגיד לשום אדם כי כל הרואה מזיקים ונוגע באש קודם שיוציא דבור מפיו ואינו מגיד לשום אדם מה שראה לא ינזק ולא ימות אמרו הראשונים מי שנראת לו דמות המת והוא שד והוא סבור שהמת הוא.
847, והוא ער במקצת.
848, אמרו שירוק עליו ויאמר טמא טמא ברח מכאן וירוק עליו
849,"מעשה היה באחד תלמיד חכם שהי' לו בן והי' בחור גדול והאב מלמדו תורה ונפטר הבן בלא בנים והאב צועק במר נפש יוסף בני בא ללמוד וכשהיה לו לאכול היה צועק יוסף בני בא לאכול פעם אחת השכים האב ללמוד והיה צועק יוסף בני בא ללמוד כמו שהיה רגיל לקרותו כשהי' חי ובא השד בדמות בנו ועמד כנגדו מיד הבין שלא היה בנו אלא שד הוא ורקק עליו ואמר צא צא טמא מכאן וברח לך ברח השד לכך אין לאדם להצטער יותר מדאי אלא כמנהג אחרים וי""א אם נראה לאדם שד יכפוף גודלו בתוך אצבעו."
850," ויגע בגחלים קודם שידבר ואל יגיד לאדם מה ששמע או מה שראה וי""א כשיראה המת ישביעו בשם ה' באותו לשון שהמת מדבר בו כשהי' בחיים ויאמר משביע אני אותך מזיק שלא תזיקני ולא תזיק לשום אוהבי ואם ישביע אותו שלא יצא משם לא יהא רשאי לילך ובלבד שלא ישן לפי שאותו ידמה עצמו לחיה או לאדם או לחתול שבא לנשוך או להזיק ובתוך החלום שמא יאמר צא הרי כבר נתן רשות ואם תפסו שינה יכניס גודלו בתוך אצבעותיו ויאמר ויאמר ה' אל השטן יגער ה' בך השטן וגו' ואם אדם אין לו לב להשביעו יבקש לו להקב""ה שלא יזיק לו וי""א יפול לפניו ארצה כיון שנכנע לא יזיקנו ואל יברח רק יבקש בשם ה' ובעבור ה' שלא יזיקנו ובדברי הימים אומר תהי ידך בי ובבית אבי ובעמך לא למגפ' ובשמואל לא הזכיר ובעמך לא למגפ' מפני שאמר דוד רבש""ע מוטב שבעמך תשלח חולי או דבר או שום דבר קשה ובלבד שלא ימותו וזהו שנאמר (תהלים קיח יח) יסור יסרני יה ולמות לא נתנני וזהו שנאמר (תהלים צד יב) אשרי הגבר אשר תיסרנו יה וכשיפול לפניו יבקש מהקב""ה שלא יזיק לו."
851, ואם בא לנשקו לא ינשק אותו ולאדם שמת לו בנו או בתו אל ינשק אותם.
852, ואל יניח אשתו לנשק אותם כי מקצרים ימי בניהם ובנותיהם ויש למחות ביד האב והאם.
853, ואין לומר לשום אדם כשמת מוטל לפניו.
854, ונפשו מרה לו מאד.
855, אין לומר למת שיוליכנו עמו.
856, כל שכן שאין לתפוש ידו בידו.
857, ולומר שיוליכנו אחריו ומעלין עליו כאילו הורג את עצמו.
858, וכתיב (בראשית ט ה) אך את דמכם לנפשותיכם אדרוש
859,הרואה גוי בחלום או גוים שכבר מתו ואומר לו לבא אחריו וכן אם יהודי מת בא לאדם אחד אז יש לו לילך על הקברות וישביענו שלא יבוא אחריו ויבקשנו אבל אם הוא למרחוק ולא יוכל ללכת שם או נכרי ולא יוכל ללכת שם כי אין ידוע אנה קברו וירא ללכת שם יחקור איש יהודי ששמו כשם נכרי שבא אחריו וילך על קבר אחר ששמו כשם של אותו שבא אחריו הן אם הוא יהודי או נכרי וכן אם יהודית או נכרית תלך על קבר יהודי' או נכרית ששמה כשמה ויבקש לנפשה ואם נכרית תשביע לנפשה ותאמר לה היא משבעת אותה בשבועה שלא תבא אחריה וכל אשר נקרא בשמה שלא יבואו ואני פלוני או פלונית בת פלונית אינה רוצה לבא אחריך ולאחר כל אשר נקרא או נקראת בשמך ולא אחר שום מת או מתה ועל זה אני משביעכם ואבקש מכם כי אני רוצה עוד לחיות שנים רבות ואת או אתה הנקראים בשם הבא אחרי.
860, תלכו ותאמרו לאותם בשמה פלו' בת פלונית או פלוני בן פלוני שלא יבא אחרי ואיני רוצה לבא אחריה וגם היא לא תבא אלי והוא יאמר שלשה פעמים בקול שנשמע ד' אמות
861,"מי שיש לו בן קטן מוטל בעריסה כדי שלא יבכה לא ירננו לו שירים וזמירות של גוים וגם לא נגונים של ישראל שהם להקב""ה אבל אם יש חרוזות מפסוקי תלמוד והוא מנגנם כדי שיזכרם ולא ישכחם אף על פי שהתינוק שותק ונהנה מותר."
862," לא ילמד אדם לגלח אותיות ולא ינגן לפניו זמר נעים פן ינגן הגלח בע""ז שלו אותו נגון וכל נגון שמנגנים בפני ע""ז לא יעשה אותו נגון להקב""ה"
863,אם המצות שאין יחידי' יכולים לעשות' אם לא בטורח גדול כגון עסקי המת לרחצו ולהלבישו אם אמרו שנים נקדים אנחנו כדי שיהא לנו שכר גדול והי' צריך שיהיו מרובים שם כגון מת גדול ואז היו יותר בטוב עושין צרכי המת נמצאו חוטאים.
864, ואם מקדימים לכבוד המת שלא יסריח ושלא יבקע בטוב עושים
865,"אדם שישב באבלות ביום השביעי לאבלותו לא ישמש מטתו אע""פ ששאר דברים עושים לאחר שהתפללו ביום ז' לא ישמש מטתו עד שתחשך ליל שמיני וכן מי שאירע לו ביום טוב לאחר יום טוב צריך לישב באבלות ובי""ט אל ישמש"
866,הנותנים אל החיים בעד המתים צריכים להודיע כדי שיתפללו על המתים שהרי משה התפלל על עצמות יהודה שנאמר (דברים לג ז) שמע ה' קול יהודה ואף הנהנה מן החיים צריך להתפלל עליהם שנאמר (תהלים עב טו) ויתן לו מזהב שבא וגו'.
867, וכתיב (דברים כד יג) ושכב בשלמתו וברכך ואומר אם לא ברכוני חלציו.
868," ועל שכבר מתו וכבר עברו י""ב חודש צריך להתפלל עליהם בכל חודש וחודש כי מהפכים אש של גיהנם."
869," שנאמר (ישעיהו סו כג) והיה מדי חדש בחדשו ומדי שבת בשבתו יבא כל בשר וכתיב (ישעיהו סו כד) ואשם לא תכבה הרי בכל חודש וחודש מהפכים בו ולפני יו""ט ושבת ואחריו אותן שלא שמרו שבת ויום טוב כהוגן"
870,"הנהנה מן המעות שהניחו לזכר נשמת המתים בתוך שנה לפטירתו צריכים הנהנים ממנו לומר והוא רחום יכפר עון בזאת ההנאה שאני נהנה על אודות פלוני ב""ר פלוני וחטאתו תכופר ונפשו בטוב תנוח על גורל הצדיקים בטוב שמטיבים לו בעדו ורוחו תרגיע בחלק הטובים ואחר כך יאמר והוא רחום יכפר ולנקבה יאמר בלשון נקבה ואם הוא ובני ביתו נהנים יאמר בהנאה שמהנים אותנו בעד נפש פלוני"
871,בימינו אנו רואים בני אדם שלוקחים נשים שאינן צדקניות והולידו בנים שאינם מהוגנים או בלא תורה כדוגמ' קרובי אשתו היו בניו וכן מצינו אותן שמן הדין היה להן להיות תלמידי חכמים ויראי שמים שאבותיו יותר משלשה היו בעלי תורה ויראי שמים וכתיב (ישעיהו נט כא) לא ימושו מפיך ומפי זרעך ומפי זרע זרעך מעתה ועד עולם ומצינו שהתורה פוסקת מהם.
872, לפי שאביה' לקח אשה שאין אחיה בעלי תורה וצדיקים ואפילו אחיה תלמידי חכמים ואביה בעל הגויה והולידו בנים שאינ' מהוגני' או האשה עצמה אינה הגונה.
873, לכן יתפלל כל חסיד על זאת שידבק באשה טובה שאחיה ואחיותיה טובים ואביה ואמה טובים ושלא יהא דבר במי שידבק בהם שיעכב את זרעו מלהיות תלמידי חכמים וכן יתפלל על בניו ועל בנותיו שישיא' על פרקם ושיהיו בהצלחה טובה וחיים טובים עם נשותיהם ובנותיו עם בעליהן והוא עם אשתו
874,ועוד אומר דברי' שהש' גורם לטובה או לרעה לטובה יש אדם שכל הנקראין בשמו יצליחו לגדולה זהו ויקרא בהם שמי ושם אבותי.
875, וכתיב (ישעיהו סו כב) כי כאשר השמי' החדשי' והארץ החדשה אשר אני עושה עומדי' לפני אמר ה' כן יעמוד זרעכם ושמכם.
876, וכתיב (ישעיהו מג א) קראתי בשמך לי אתה.
877, הרי שיש אדם שכל אותם הנקראים על שמו יחיו ויהיו בניו קיימי' ויעמידו תולדות ויש שכל אלה להם להפך שנאמר (ישעיהו סה טו) והנחת' שמכם לשבועה לבחירי והמיתך ה' ולעבדיו יקרא שם אחר וכתיב (ישעיהו יד כב) והכרתי לבבל שם ושאר ונין ונכד וכתיב (איוב יח יט) לא נין ולא נכד בעמו ואין שריד במגוריו.
878, וכתיב (איוב יח יז) ולא שם לו על פני חוץ.
879, לכן יתפלל אדם שכל הנקראי' בשמו יהיו בהם מדות טובות האלה ולא אחת מן המדות הרעות ושלא יקראו זרעו על אותן שמדות הרעות תלויות בהן.
880, כיצד יראה אדם כשיש שני אחי' וקראו שם בניהם ובנותיהם אחר שם פלוני אפילו אחר צדיק ומתו בלא תולדות.
881," או שהיו הכתובים למעלה לרעה בהם אל יקראו יותר באותו השם ר""ל שקראו לו שם בגורל מתוך הספר כאשר עושין לחולה או בשני אחי' נתקיי' למאן דאמ' שני' לחזקה ולמאן דאמר שלשה לחזק' פעמים שהאחי' קוראי' בשם אותו האיש ונכשלים זרעו או האחים קראו את בניהם אחר אביהם ומתו והבנו' קראו בניהן וחיו ויש שם פלוני שכל המשפחה שלו אם קראו זרעם בשמם מתו בלא תולדות ולא האריכו ימיהם ובכל ענינים האלו לנקבות ובשם שירא' החכם שכך הוא אל יאמר אקיי' לאבותי שם שלא ישכח והוא רואה שנקראים אחרים ונכשלו הרי הוא נושא אל נפשו עון."
882, ואין אלו הדברים משום ניחוש שהרי הראשונים היו קוראים את בניהם על שם המאורע ולא מתו.
883," אא""כ חטאו בער ואונן לכך יהיו צדיקים שזרעם מתים ולא מחמת עון."
884," אלא שאלו הדברים הזיקו ואע""פ כן יש לאדם לחשוב שמא בעונו הוא וכל שמתים בניו ואחרים קראו אחר פלוני וזה קראו כמו כן ומתו הרי נגזר עליו לפי שכינו אחרים שם כמוהו"
885,אם נגזר עליו על פלוני ששמו כך הרי הגיע עד שערי מות וקורא לו שם שינוי וחי כמו יולד בן לנעמי והוא בן רות כגון ראובן שיש לו בן ונוטה למות ויבא שמעון ויאמר לאביו ולאמו פלונית בן פלו' הא לכם שקל הא לכם ככר ובשר ויין ואני פודה את בניכם שיהא בני ויחיה.
886, כך עושים למי שאין מתקיימים לו בנים ואין בו משום ניחוש
887,אם ראית אדם שאין בניו מתקיימים דע כי השם גורם להם אם אחיו קורין שם לבניהם אותו שם ולזה אין מתקיימים דע לך שהמקום גורם ויש לו לצאת ולילך למדינה אחרת
888,כל שמוליד באותה מדינה שימותו בניו אין לו להיות באותה מדינה ואם יצא והיה במדינה אחרת ומתו הרי צריך קמיעה.
889, ויש שמתים כל זכרי' ונשארו נקבות ויש להפך.
890," ויש לבדוק באשה כי רוב בנות אחר האם אם האם מפלת נפלי' כך בתה לכך יתפלל אדם שיתן לו הקב""ה אשה בת מדות טובות ויבדוק אדם בכל אלה באמה או באחיותיה של אמה."
891, וגם רוב זכרים אחר זקינם ורוב בנות אחר אמם.
892, ואם ישאל אדם עצה ממך אז תקיים לו מה שנאמר (ויקרא יט יד) ולפני עור לא תתן מכשול.
893, ואהבת לרעך כמוך פי' שתיעצהו לפי מה שנראה לך המוטב לו ולש' שמים.
894, ודע כי מעט מזעיר ימצא שיהיו ד' אחי' או ד' אחיות בעיר אחת שנשואי' שיהיו כלם לאורך ימים על כן טוב להם שלא יהיו יחדו.
895, ורמז כי ישבו אחי' יחדו ומת אחד מהם.
896, רבי יוחנן עבר בשוקא חמא מזבן אילין מלטוזמא.
897, אמר ליה מאן אילין את חזי אמר ליה אין שבקיה ואזל ליה בתר שעה עבר גביה אמר ליה ליהדר וליזל מעלוי דמן ההוא שעתא לא זבני' כלו'.
898, אמר ליה שני אתרך פעמים ששינוי השם גורם פעמים ששינוי המקום גורם
899,אם יש עצירת גשמי' וצריכי' למטר וכן תפלת הגשם ביום עצרת של סוכות ובהושענא רבה לא יתכן לירד לפני התיבה אלא אדם צעור ולא שמחן וביתו ריקם ממזונות ולא מי שיש לו אוצרות פירות ששמח אם תיקר התבואה והפירות אלא צעור שנאמר (ירמיהו יד ב-ג) וצווחת ירושלים עלתה ואדיריהם שלחו צעוריהם למים.
900," צעוריהם בוי""ו כתיב מי שלבו צעור."
901, וסמכו אל לא תטהרו עוד וסמיך לו אל מקוה ישראל שצריך טבילה וטהרה למתפלל וכתי' באו על גיבים ולא מצאו מים וכתיב וה' לא רצם
902,אחד היה רגיל להתפלל בכילה שהיתה מיוחדת לו בטהרה והיה נענה.
903, אחר זמן היה מתפלל ולא נענה.
904, והיה מתענה ולא הועיל.
905, שאל לחכם אמר ליה מתפלל ומתחנן אתה בספר שרשע כתבו אמר ליה אני נתתי לכתוב לפלוני הסופר ושכרתי אותו לכתוב על קלף שלי יפה השיב לו החכם כשהיה כותב לך היה לבו מלא טינא ועולה ואין קטיגור נעשה סניגור לכך אין ראוי שישמע לך בעוד שאתה מתפלל בו.
906, וכן מי שמחק ספר פסול וכתב בו ומתפלל בו ואפי' לחותכו חתכים ליהנות ממנו אינו ראוי כי אם ראוים לישרף
907,כשקורין ויחל בתענית שותק החזן והקורא בתורה עד שיאמרו הקהל שוב מחרון אפך והנחם על הרעה לעמך וגם ה' ה' אל רחום לומר כי הקהל אומר אותו כעין תפלה ומתכוונין לבם בלשון בקשה.
908, והחזן הקורא אינו רשאי לקרות בלשון בקשה אלא כך עשה משה היאך היה מעשה שמשה בקש ומספר כל הענין רחום א'.
909, וחנון ב'.
910, ארך אפים ג'.
911, ורב חסד ד'.
912, ואמת ה'.
913, נוצר חסד לאלפים ו'.
914, נושא עון ז'.
915, ופשע ח'.
916, וחטאה ט'.
917, ונקה י'.
918," וסלחת לעוננו י""א."
919," ולחטאתנו י""ב."
920," ונחלתנו י""ג."
921," הרי י""ג מדות כמו שמצינו אותם ודע שכך יש למנותם שהרי אמ""תי [שיסד הפזמון ה' ה'] מנה כן."
922," ואומר אזכרה אלהים ואהמיה ועונין י""ג מדות."
923, ובאחרונה הוא אומר תמכתי יתדותי בשלש עשרה.
924," [הרי] כמו שמנינו לך חברם יחד לאמרם ולא יתכן לאמר אותו פיוט אלא א""כ בכה המתפלל או שבוכים העם כדי שלא יהא דובר שקרי' לא יכון לנגד ה' ואיך יאמר יהי רצון מלפניך שומע קול בכיות שתשים דמעותינו בנאדך."
925, ולא יתכן להיות אלא אם כן בכו
926,בראשונה לא היו החזנים חוזרים לאחו' אלא במקום שסיימו הצבור שם מתחילין כגון הצבור אומר נאוה תהלה.
927," והעומד לפני התיבה מתחיל בפי ישרים,"
928, וכשהיו הפריצים ממהרים לומר הברכות ושבחות ולא במשך היה היורד לפני התיבה מתחיל למעלה לפי שלא היה רוצה למהר נמצא כשהם סיימו הוא לא סיים.
929, אבל כשהיו טובים לא היו ממהרים ואומרים כהוגן לא היה חוזר למעלה ועתה שחוזרים למעלה עון הוא לפי שהן עושים כדי להשמיע קולם הנעים ועוד טורח ציבור יש ושלא לצורך כיון שאמרו הקהל במשך ולא מהרו מה צורך לחזור מה שכבר אמר.
930, אין ליורד לפני התיבה לומר אלא מה שמוציא את הרבים ידי חובתם.
931, ואם הוא מתחיל למעלה בשביל להוציא חובת מי שאינו יודע היה לו להתחיל נשמת כל חי.
932, אלא עושים כדי להשמיע קול הנעים וירא שמים לא יעשה כן.
933," מי שיש לו קול נעים ירננו להקדוש ברוך הוא ולא שאר רננות שנאמר (תהלים לג א) רננו צדיקים בה' ולא שאר רננות ושבחות ולא ישבח להקדוש ברוך הוא בדבר שאין רגילות להיות כגון הקב""ה הוא עושה מן השמים ארץ ומן ארץ עושה שמים ומדבש לענה ומלענה דבש וממים יין ומיין מים וכל דבר שאין רגילות לשבחו כך אלא באמת ולא ידברו שקר."
934, ולכך סמך לא ידברו כזב ולא ימצא בפיהם לשון תרמית וסמיך ליה רני בת ציון ולא נאמר רננות אלא שמחות שמחמת ניגונים ישמח לב המנגן והשומעים שנ' רני בת ציון הריעי בת ירושלים שמחי ועלזי בכל לב צריך למשורר את הניגון (שאם יהיה רוקק להשליך מחוטמו שיקנח) ויאמר ממקום שפסק.
935, לא ישמח הלב אלא במשך הניגון.
936, מי שאומר בקול רם ברכות ופיו פתוח ופורח בגרונו זבוב פסיק וירוק בכח כדי להשליך הזבוב מגרונו
937,מי שקינח חוטמו אל ישליך כיחו מחוטמו ואצבעותיו מלוכלכות ולא יגע בספר ולא ידבר בשבחות וברכות עד שיקנח אצבעותיו.
938, ואם אדם לבדו אמר השבחות והברכות ונזדמן לו רוק בפיו ישתוק כדי הילוך ארבע אמות וישליך הרוק אבל בצבור אם ישתוק כדי הילוך ארבע' אמות ויזרוק הרוק לא ישיג הצבור הרי אנוס ואין צריך כהילוך ד' אמות להמתין.
939, ובעת התפלה אסור להביט ברוק או בדבר מיאוס שמעלה רוק בפיו.
940, ואסור לדבר כשרואה דבר מאוס או דבר ערוה או ליגע בדבר מאוס כשמדבר או מהרהר בדבר קדושה ואדם שמתפלל אם יש לפניו דבר מאוס וצריך לשחות באותן ברכות ששוחה עד קרוב למאוס.
941, אם יכוף ביותר קומתו במודים יהא כנגדו לא יתכן לשוח עד שיצא מפיו הברכה
942,הרוצה שלא ירוק בבית הכנסת תדיר מפני שגנאי הוא ועוד שגורם מיאוס לבני אדם אבל בעל כרחו הוא עושה ורוצה שלא יהיה רוק כל כך ילעוס קודם שיבא לבית הכנסת שורש שקורין ליקריץ ולא ירוק כל כך.
943, ובלילה ילעוס קודם שינה וקודם שילך לבית הכנסת אבל ביום תענית לא ילעוס בהשכמה מפני שהמתיקות יהיה בפיו.
944, וכן בערב יום כפור ובערב תשעה באב לא יאכל שורש מתוק וכיוצא בו שישאר הטעם בפיו וכשבולע הרוק בולע המתיקות
945,האומר בלחש ברכת התורה וברכות גוזל את המצות.
946," (שהרי תרי""ג קולות לא תמצא אלא עם אמן וברכות שעונין לכך יאמר הקהל בקול רם וכתיב (דברים כז יד) וענו הלוים ואמרו אל כל איש ישראל קול רם כשקורין בתורה אותו המברך על התורה חוטא אם מברך בלחש שלא יענו ברוך ה' המבורך לעולם ועד ויענו הקהל אחריו אמן)"
947,לא ינשק אדם בבית הכנסת את בנו ולא בביתו לפני רבו.
948," לאחר שקרא בתורה מנשק ס""ת ע""ש ישקני מנשיקות פיהו ואם נזדמן לו רוק ירוק ואח""כ יש לו לנשק ולא ינשק ואח""כ ירוק."
949, אחד היה צריך להתעטף בציצית.
950, אמרו לו תמתין עד שבת ותתחיל בשבת לכבוד שבת אמר להם אילו היה מלבוש אחר היה מעכב עד שבת אבל טלית בציצית לא אעכב אלא אפילו בחול אתעטף בעבור המצוה כדכתיב (תהלים קיט ס) חשתי ולא התמהמהתי לשמור מצותיך
951,"כשאומרים סליחות בהשכמה היה אחד מן הקהל לאחר שמסיימים יוצא מב""ה וכשאומר ברכות ושבחות לא היה אומר אמר לו זקן אחד מה דעתך שהסליחות אתה אומר ובשבחות אינך חושש אמר לפי שזה בכל יום."
952, אמר לו מסיר אזנו משמוע תורה גם תפלתו תועבה כי השבחות ברוח הקודש נאמרו והסליחות תקנו חכמים ונביאים ושמעו החכמים שהיו סביביו אומר הקרובץ במשך והפסוקים היו ממהרים אמר להם הפסוקים הם יסוד הקרובץ שמהם נתייסדו כשם שאתם מנגנים את הקרובץ במשך כך תעשו להפסוקים שלא יהיו הפיוטים עיקר ואשר ברוח הקדש טפל.
953, לא שימהר פסוק כאשר קצים בו ולטורח עליהם וכתיב (משלי ג יא) ואל תקוץ בתוכחתו
954,וקראתם אותי והלכתם והתפללתם (ירמיהו כט יב) איזו תפלה שהיא בהליכה.
955, כגון הרוכב או כשאדם צריך ללכת בדרך יתפלל תפלה להושיע מכל אויב ואורב בדרך.
956," ד""א כשאדם נכנס בעיר שאינו יכול להתפלל בכוונה מפני בני אדם מוטב שיתפלל בדרך או כשיודע שבבית אינו מקום שהוא טהור או שאינו נכון להתפלל שם."
957, אז ילך למקום טהור וזהו צדק לפניו יהלך וישם לדרך פעמיו.
958, יהודי ששלח גוי למרחקים יכול לבקש עליו שישוב לשלום שאם לא ישוב חי שמא יעלילו על היהודים
